	16	0	117	-1	15	11	3	1	9
	15	118	164	16	14	8	2	-1	7
	14	165	297	15	13	7	2	-1	6
	13	298	608	14	12	5	2	-1	5
	12	609	820	13	10	2	2	-1	4
	11	821	1022	16	4	6	2	-1	2
	10	1023	1323	12	9	3	2	-1	3
	9	1324	1407	10	1	0	2	-1	2
	8	1408	1467	15	-1	-1	1	-1	1
	7	1468	1490	14	-1	-1	1	-1	1
	6	1491	1561	11	-1	-1	1	-1	1
	5	1562	1770	13	-1	-1	1	-1	1
	4	1771	2116	11	-1	-1	1	-1	1
	3	2117	2314	10	-1	-1	1	-1	1
	2	2315	2528	12	-1	-1	1	-1	1
	1	2529	2621	9	-1	-1	1	-1	1
	0	2622	2835	9	-1	-1	1	-1	1
