19950601
23.3,15.6
19.4,16.1
27.2,14.4
27.8,12.2
28.3,13.3
29.4,17.8
31.7,19.4
22.2,10
20,10
26.1,13.9
22.8,13.3
25.6,7.8
28.3,9.4
29.4,11.1
30.6,14.4
31.7,17.2
31.7,19.4
32.2,20
33.9,20.6
36.1,20.6
33.9,20.6
34.4,17.2
33.3,17.2
33.3,17.2
31.7,18.3
26.1,18.3
26.7,16.1
26.1,15
28.3,16.7
24.4,14.4
22.2,10
23.9,6.7
26.1,12.2
27.8,16.7
27.2,16.7
24.4,17.8
26.7,14.4
26.7,10
29.4,17.2
30,20
33.3,22.2
34.4,20
36.7,23.3
35,25.6
33.3,22.8
30.6,20
28.3,15
28.3,14.4
29.4,12.8
30,15
29.4,13.3
28.3,17.8
29.4,13.3
30.6,17.8
31.7,16.7
29.4,18.9
31.1,17.2
32.2,18.9
32.2,17.8
32.8,20.6
32.8,22.2
28.3,20
25,18.9
27.2,21.1
30.6,20.6
30.6,17.2
28.9,18.3
30.6,20
30,18.9
32.2,17.8
29.4,18.9
32.8,20
33.3,22.2
32.8,23.9
32.2,22.2
29.4,20
30.6,21.7
32.8,20.6
31.7,21.7
31.7,22.8
28.9,16.7
31.1,14.4
31.7,15
29.4,15.6
31.1,18.3
30,20.6
31.7,16.7
32.8,19.4
30,20
31.1,20
32.8,20
29.4,18.9
27.8,12.8
26.1,8.9
27.8,11.1
31.1,12.8
29.4,13.3
31.7,13.3
20,11.1
21.1,7.2
22.8,3.3
21.1,5
23.9,2.8
23.9,10.6
30,17.2
25.6,7.8
25.6,9.4
27.2,14.4
21.1,6.1
18.9,4.4
15,8.9
13.9,9.4
10.6,0.6
10.6,0
15,-2.8
17.2,-1.7
20.6,5
25,5.6
26.7,7.2
26.1,8.3
24.4,10
26.1,18.3
22.8,4.4
25.6,5
21.1,5.6
21.7,-2.8
19.4,9.4
14.4,11.1
15,4.4
18.3,0
21.1,6.1
22.2,1.1
26.1,4.4
27.8,9.4
26.7,11.7
12.2,2.2
13.3,-0.6
17.2,-1.7
24.4,5
21.7,2.2
22.8,8.3
10,3.9
4.4,0
15.6,-1.7
20.6,1.1
9.4,2.8
17.2,-1.7
16.7,1.7
12.2,6.1
11.1,1.7
11.1,0.6
10,1.1
5.6,0
15.6,3.9
7.2,-2.2
1.1,-4.4
0.6,-8.3
2.2,-6.7
10.6,-1.7
0.6,-6.7
1.1,-10
7.8,-7.2
10,-1.1
0,-15.6
0,-10.6
0,-8.9
0.6,-10
1.7,-11.1
4.4,-1.1
4.4,0
1.7,-1.1
11.7,-2.8
9.4,-1.7
5.6,-5.6
2.8,-10
0.6,-8.9
1.7,-12.8
8.9,-3.9
11.7,1.1
3.9,-4.4
-2.2,-15.6
-3.3,-18.3
6.1,-10
6.7,-0.6
12.2,-4.4
11.7,0
6.7,-4.4
5,-3.3
-0.6,-9.4
0.6,-11.7
-2.8,-10.6
-4.4,-22.2
-8.9,-22.2
-12.2,-17.8
-8.3,-15.6
1.1,-9.4
5,-1.7
1.7,-5
1.7,-10
2.8,-6.7
1.7,-1.1
1.1,-5
-1.1,-8.3
-1.7,-10
-2.8,-7.2
-1.7,-7.2
-1.7,-7.2
-2.2,-11.7
-2.8,-11.1
0.6,-12.8
-0.6,-15.6
1.7,-12.2
1.7,-5.6
1.7,-2.2
1.1,-1.1
1.1,-11.1
-4.4,-15.6
-4.4,-13.3
-9.4,-18.3
-9.4,-20
-7.8,-16.1
-3.3,-19.4
1.1,-7.8
-4.4,-16.7
-1.1,-5.6
0,-6.7
6.7,-10
5.6,-3.9
1.1,-8.3
4.4,-7.2
10.6,-2.2
13.3,-12.8
-12.8,-20
-6.1,-17.8
0,-9.4
3.9,-3.3
1.1,-6.7
-5.6,-15
-0.6,-18.3
1.7,-10
-7.2,-16.7
-1.7,-19.4
-0.6,-19.4
-16.1,-22.2
-18.9,-30
-17.2,-25
-22.2,-30
-22.2,-32.2
-18.3,-29.4
-5,-20
0,-21.1
4.4,-2.8
8.3,1.1
8.9,-1.7
10.6,1.7
1.7,-2.2
-0.6,-6.7
0,-6.7
0.6,-5
-2.2,-7.8
-2.2,-13.9
-0.6,-10
-2.2,-16.1
7.8,-10
13.3,1.1
3.3,-2.2
6.1,-1.1
10.6,1.1
14.4,-1.1
12.8,0.6
7.2,0.6
3.3,-10.6
-2.8,-14.4
-2.8,-13.9
-3.9,-12.2
-2.8,-17.2
-2.8,-18.9
2.8,-12.2
0.6,-3.9
-3.9,-13.9
-8.9,-17.8
-8.3,-20
-1.7,-16.7
4.4,-11.7
8.9,-3.3
15,0.6
15,0
15.6,1.7
11.7,-4.4
8.9,-3.3
5.6,-1.1
9.4,-5.6
5,-2.2
5.6,-2.2
5,-6.7
8.9,-7.2
11.1,-8.3
16.7,2.8
11.1,-9.4
-3.3,-15
5.6,-12.8
8.3,-1.1
13.3,-4.4
10,0
8.9,0
10.6,-5
20,-2.8
25,1.1
7.8,-3.3
7.8,-8.9
7.8,-7.8
7.2,-3.9
9.4,-8.3
12.2,-7.2
19.4,-7.2
26.7,3.9
25.6,9.4
10.6,2.2
7.2,-2.2
7.2,1.1
11.7,-0.6
20.6,-1.1
24.4,6.1
22.2,8.9
15.6,7.2
18.9,1.1
16.1,6.1
13.9,1.7
21.1,3.3
19.4,11.7
15,2.2
16.1,-2.2
13.9,2.2
8.3,1.1
13.9,1.1
16.1,3.9
17.8,1.1
16.7,4.4
17.8,4.4
15,5
13.9,3.3
12.8,6.7
23.3,8.9
21.7,12.8
19.4,5
19.4,4.4
13.3,2.2
15.6,2.2
11.1,2.8
15.6,8.3
17.2,12.2
31.1,13.3
31.7,20
30,20.6
25.6,12.8
23.9,10
26.1,8.9
18.3,12.2
13.9,7.8
13.9,7.2
16.7,8.9
13.9,8.3
13.9,9.4
21.1,6.7
20.6,2.2
23.3,6.7
20,12.8
25.6,12.2
17.8,10.6
17.8,11.1
23.9,7.8
26.1,15.6
17.8,12.8
16.7,12.2
18.9,12.8
23.3,14.4
24.4,12.8
28.3,12.8
31.7,18.3
30.6,14.4
31.7,14.4
29.4,18.3
30,20
23.3,19.4
26.1,17.8
30,15.6
30.6,19.4
28.3,18.9
28.9,13.3
24.4,15.6
26.7,13.3
30,12.8
32.2,16.7
33.9,18.3
34.4,20
32.8,20.6
30.6,14.4
28.9,14.4
26.7,12.8
27.8,11.1
28.9,11.7
31.1,13.3
30.6,20
27.2,11.7
23.3,12.2
26.1,8.3
27.8,10
25.6,16.7
26.7,15.6
23.9,14.4
28.9,11.7
31.1,13.3
25.6,20.6
32.2,20
27.8,18.3
25,12.2
20.6,15.6
25,12.8
26.7,15
27.2,15
24.4,12.8
27.2,11.7
24.4,13.9
26.7,15.6
26.7,13.9
24.4,14.4
23.3,11.7
26.1,11.1
28.9,12.2
28.3,13.3
28.3,17.2
32.2,20.6
32.2,21.1
32.2,20.6
28.9,15.6
27.8,11.7
23.3,11.1
26.7,15.6
29.4,11.1
28.3,12.8
29.4,17.8
25,13.3
26.1,10.6
27.2,15
24.4,15
28.3,18.3
26.7,19.4
31.1,17.8
31.1,17.2
26.7,13.3
27.2,9.4
27.2,11.1
28.9,13.3
25.6,13.3
26.7,12.2
27.2,10
27.8,9.4
28.3,11.7
28.9,13.3
28.9,13.9
29.4,11.7
30,11.7
29.4,13.3
30,13.3
30,13.9
23.9,14.4
27.2,15
27.2,9.4
25,12.2
17.8,7.2
18.3,4.4
18.9,4.4
21.7,7.2
21.7,7.8
22.2,10
23.9,4.4
23.9,2.8
21.7,10
22.8,9.4
22.8,7.8
17.2,7.2
21.1,7.8
16.1,3.3
17.8,10
17.8,8.9
18.3,7.2
18.3,6.7
25.6,4.4
23.9,9.4
16.7,3.3
14.4,-0.6
16.7,2.2
22.2,2.8
25.6,11.1
16.7,6.1
13.9,1.7
14.4,1.7
15,-2.2
17.8,5
22.2,6.1
25.6,10.6
21.7,6.7
26.1,7.8
21.7,13.3
21.1,5
15,1.1
15,-3.9
16.7,0.6
18.9,5.6
16.7,10.6
14.4,5.6
14.4,1.1
20,3.9
19.4,12.2
17.8,7.8
12.8,1.1
17.2,2.2
11.7,-2.2
3.3,-7.8
3.9,-5
3.3,-6.7
11.1,-7.8
8.3,1.1
10,4.4
16.7,4.4
9.4,0
5,-1.7
3.9,-3.3
-0.6,-5.6
1.7,-9.4
0,-6.1
-2.8,-13.3
0.6,-13.9
4.4,-5
13.9,1.7
10.6,-3.9
1.7,-5
0.6,-5
1.7,-6.7
3.9,-2.2
1.7,-2.2
1.7,0
1.7,-3.9
-3.9,-13.3
-7.2,-13.3
-2.8,-14.4
3.9,-12.2
3.3,-3.9
5.6,-0.6
0.6,-6.7
-0.6,-8.3
-0.6,-9.4
-1.7,-17.2
1.7,-3.9
3.3,-3.9
2.8,-7.2
-1.7,-10
-1.7,-5
3.3,-5.6
2.8,0.6
2.8,-1.1
2.8,-3.3
6.1,-1.1
6.7,-4.4
-1.1,-7.8
-3.3,-8.9
-7.8,-13.3
-10.6,-17.2
-7.2,-20
2.8,-10
3.9,-1.7
3.9,-1.1
-1.1,-17.2
-15.6,-20
-10.6,-16.1
1.1,-13.3
2.8,0
1.7,-10
0,-12.8
-0.6,-7.2
2.8,-2.8
12.8,0
6.1,0.6
15.6,-2.2
2.2,-12.2
-2.2,-13.9
-3.9,-15
-0.6,-15
-2.2,-5.6
-5,-18.3
-16.1,-20.6
-16.7,-25
-11.7,-20.6
-10.6,-21.1
-5,-10.6
-5,-20
-15,-24.4
-13.9,-23.3
-1.1,-16.7
3.9,-6.7
6.1,-4.4
7.2,-10
-3.3,-10
0,-6.1
-6.1,-20.6
-9.4,-22.2
